Country,type,1970,1980,1990,2000,2010,2020
Afghanistan,1000 Head of Chicken,6000,6400,6600,6856,12888,13724
Albania,1000 Head of Chicken,2169,3492,5259,4087,5245,6774
Algeria,1000 Head of Chicken,13800,25000,74000,110000,126000,137280
Angola,1000 Head of Chicken,4300,5400,6100,6800,17119,47306
Antigua and Barbuda,1000 Head of Chicken,50,66,90,110,150,161
Argentina,1000 Head of Chicken,32500,62000,67000,109000,98000,118463
Armenia,1000 Head of Chicken,,,,4100,3910,4396
Australia,1000 Head of Chicken,27000,46749,59956,84928,83024,100894
Austria,1000 Head of Chicken,11543,14496,14145,13798,15650,
Azerbaijan,1000 Head of Chicken,,,,14200,21150,30176
The Bahamas,1000 Head of Chicken,620,1150,1900,2350,3000,3205
Bahrain,1000 Head of Chicken,110,350,570,490,530,9907
Bangladesh,1000 Head of Chicken,66186,52095,91103,132700,228035,296602
Barbados,1000 Head of Chicken,340,1700,2900,3460,3600,4258
Belarus,1000 Head of Chicken,,,,26400,32000,45875
Belgium,1000 Head of Chicken,34709,28335,32800,39000,34375,
Belize,1000 Head of Chicken,250,390,1100,950,1530,1670
Benin,1000 Head of Chicken,6400,11056,9579,11758,16550,22690
Bhutan,1000 Head of Chicken,90,148,219,231,349,1384
Bolivia (Plurinational State of),1000 Head of Chicken,10200,17858,23854,77659,195408,235566
Bosnia and Herzegovina,1000 Head of Chicken,,,,9400,21030,16658
Botswana,1000 Head of Chicken,430,833,2126,3500,1761,780
Brazil,1000 Head of Chicken,200000,441321,546235,842741,1238913,1479363
Brunei,1000 Head of Chicken,490,1000,2565,9618,14910,19437
Bulgaria,1000 Head of Chicken,27329,39164,35033,13300,16002,
Burkina Faso,1000 Head of Chicken,10420,11041,17158,22484,39000,39847
Burundi,1000 Head of Chicken,2100,3100,4400,4100,1720,2569
Cabo Verde,1000 Head of Chicken,53,250,504,480,618,1000
Cambodia,1000 Head of Chicken,3900,2442,8163,15249,17448,12472
Cameroon,1000 Head of Chicken,8500,8000,17600,22000,45000,55425
Canada,1000 Head of Chicken,94995,93511,111000,158000,165000,171718
Central African Republic,1000 Head of Chicken,1070,1549,2773,4211,6376,7287
Chad,1000 Head of Chicken,2900,3200,4000,4900,5550,6171
Chile,1000 Head of Chicken,14500,26000,19358,38408,47479,114523
China,1000 Head of Chicken,620000,875000,2000000,3500000,5200000,4748080
Colombia,1000 Head of Chicken,16700,31000,53000,105000,158000,201601
Comoros,1000 Head of Chicken,225,280,392,490,550,545
"Congo, Democratic Republic of the",1000 Head of Chicken,575,1100,1600,1900,2600,2977
Costa Rica,1000 Head of Chicken,3923,5500,9500,17135,23900,24492
Croatia,1000 Head of Chicken,,,,7046,5041,12508
Cuba,1000 Head of Chicken,13526,24886,27904,28346,30950,30245
Cyprus,1000 Head of Chicken,3416,2200,2475,3600,2981,
Czechia,1000 Head of Chicken,,,,29538,24042,
Côte d'Ivoire,1000 Head of Chicken,5600,17000,24100,29175,45052,84375
Denmark,1000 Head of Chicken,17847,15100,15498,20982,18084,
"Congo, Democratic Republic of the",1000 Head of Chicken,9000,13500,27490,21559,20067,18668
Djibouti,1000 Head of Chicken,,,,,,
Dominica,1000 Head of Chicken,79,108,133,190,190,200
Dominican Republic,1000 Head of Chicken,8800,20700,32800,46000,178433,179694
Timor-Leste,1000 Head of Chicken,650,680,766,1000,702,1185
Ecuador,1000 Head of Chicken,6139,32634,51205,130050,182930,159568
Egypt,1000 Head of Chicken,24541,27597,37208,89000,103789,167039
El Salvador,1000 Head of Chicken,2161,5064,4952,9900,15000,17522
Equatorial Guinea,1000 Head of Chicken,90,130,233,310,340,374
Eritrea,1000 Head of Chicken,,,,1200,1250,1184
Estonia,1000 Head of Chicken,,,,2414,1769,2055
Ethiopia,1000 Head of Chicken,47200,51400,57800,28543,49287,56993
Fiji,1000 Head of Chicken,400,1200,2600,4000,4700,5479
Finland,1000 Head of Chicken,8553,9376,5858,7918,4616,8507
France,1000 Head of Chicken,164756,176290,194166,214187,231527,242015
Gabon,1000 Head of Chicken,332,1600,2200,3200,3100,3244
Georgia,1000 Head of Chicken,,,,8000,6190,9298
Germany,1000 Head of Chicken,138879,136377,121270,107659,114113,
Ghana,1000 Head of Chicken,10823,11500,9686,20472,47752,95455
Greece,1000 Head of Chicken,22494,29440,27578,30289,27841,
Grenada,1000 Head of Chicken,220,270,260,150,270,272
Guatemala,1000 Head of Chicken,9560,14000,14600,30900,33000,35994
Guinea,1000 Head of Chicken,3800,6100,7651,11855,21231,34074
Guinea-Bissau,1000 Head of Chicken,280,420,800,1300,1596,2180
Guyana,1000 Head of Chicken,6450,9400,2050,10500,21400,30290
Haiti,1000 Head of Chicken,3600,5000,5000,5500,5600,5863
Honduras,1000 Head of Chicken,2900,4808,10000,17300,43318,47601
Hungary,1000 Head of Chicken,58121,61269,52821,25890,32128,30874
Iceland,1000 Head of Chicken,136,394,506,210,218,222
India,1000 Head of Chicken,127000,186800,268000,374000,663300,791032
Indonesia,1000 Head of Chicken,63358,149250,571163,859497,1349626,3560079
Iran (Islamic Republic of),1000 Head of Chicken,54000,90000,160000,250000,880000,1009214
Iraq,1000 Head of Chicken,11861,27000,80000,23000,34000,78534
